ABTEILUNG;NUMMER;CODE;NAME;EINHEIT;REF_UNTEN M;REF_OBEN M;REF_UNTEN W;REF_OBEN W
BLUT-CHEMIE;14537;ALT-AU;ALT;U/l;<;55;<;55
BLUT-CHEMIE;27358;AMH2;Anti-Müller-Hormon;pmol/l;9.3;106;<;90
BLUT-CHEMIE;33969;AMH3;Anti-Müller-Hormon;pmol/l;;;;
BLUT-CHEMIE;37451;AMH3 m;Anti-Müller-Hormon ;pmol/l;;;;
BLUT-CHEMIE;33971;AMH3-M18;Anti-Müller-Hormon;pmol/l;5.2;114.6;;
BLUT-CHEMIE;33972;AMH3-W18;Anti-Müller-Hormon;pmol/l;;;6.82;95.22
BLUT-CHEMIE;33973;AMH3-W26;Anti-Müller-Hormon;pmol/l;;;1.22;52.66
BLUT-CHEMIE;33977;AMH3-W31;Anti-Müller-Hormon;pmol/l;;;0.53;52.48
BLUT-CHEMIE;33974;AMH3-W36;Anti-Müller-Hormon;pmol/l;;;0.2;51.03
BLUT-CHEMIE;33975;AMH3-W41;Anti-Müller-Hormon;pmol/l;;;<;23.35
BLUT-CHEMIE;33976;AMH3-W45;Anti-Müller-Hormon;pmol/l;;;<;8.19
BLUT-CHEMIE;33970;AMH3-60;Anti-Müller-Hormon;pmol/l;107.9;1903;<;24.19
BLUT-CHEMIE;33978;AMH3-60-18;Anti-Müller-Hormon;pmol/l;;;;
BLUT-CHEMIE;10860;Ami;Amitriptylin;µg/l;120;250;120;250
BLUT-CHEMIE;20928;#NAME?;Amikacin;mg/l;;;;
BLUT-CHEMIE;25835;Ami+Nort;Amitriptylin+Nortryptylin;µmol/l;0.27;0.68;0.27;0.68
BLUT-CHEMIE;13929;Ami+Nort;Amitriptylin+Nortryptylin;µmol/l;0.62;1.47;0.62;1.47
BLUT-CHEMIE;35348;Amiod;Amiodaron;µmol/l;1.5;3;1.5;3
BLUT-CHEMIE;22184;Amis;Amisulprid;nmol/l;270;867;270;867
BLUT-CHEMIE;21610;Ammoniak;Ammoniak;µmol/l;<;55;<;48
BLUT-CHEMIE;36018;Ammoniak;Ammoniak;µmol/l;<;30;<;30
BLUT-CHEMIE;33916;Ammoniak;Ammoniak;µmol/l;9;30;9;30
BLUT-CHEMIE;10854;Ammoniak;Ammoniak;µg/l;250;940;;
BLUT-CHEMIE;13162;Ammoniak;Ammoniak;µg/l;270;900;270;900
BLUT-CHEMIE;36019;Ammoniak-1;Ammoniak;µmol/l;;;;
BLUT-CHEMIE;11468;Amyloid;Amyloid;mg/l;<;6.8;<;6.8
BLUT-CHEMIE;22098;Amyloid A;Serum-Amyloid A;mg/l;<;6.8;<;6.8
BLUT-CHEMIE;22084;Amyloid A;Serum-Amyloid A;mg/l;<;10;<;10
BLUT-CHEMIE;41807;andro;Androstendion;nmol/l;1.4;12.2;1;8.4
BLUT-CHEMIE;12717;ANDRO;Androstendion;nmol/l;2.1;10.8;1;11.5
BLUT-CHEMIE;29961;ANDRO;Androstendion;nmol/l;1.4;12.2;1;8.4
BLUT-CHEMIE;11587;ANDRO012;Androstendion;nmol/l;0.2;2.4;0.2;2.4
BLUT-CHEMIE;11586;ANDRO07;Androstendion;nmol/l;0.7;10.1;0.7;10.1
BLUT-CHEMIE;10770;ANDRO10;Androstendion;nmol/l;0.3;1;0.7;1.7
BLUT-CHEMIE;10771;ANDRO12;Androstendion;nmol/l;1;2.4;1.4;3.5
BLUT-CHEMIE;10772;ANDRO14;Androstendion;nmol/l;1.7;3.5;2.8;6.6
BLUT-CHEMIE;10768;ANDRO6;Androstendion;nmol/l;0.3;0.7;0.3;0.7
BLUT-CHEMIE;10769;ANDRO8;Androstendion;nmol/l;0.3;1;0.3;1
BLUT-CHEMIE;40568;ANP;MR-proANP;pmol/L;<;85.2;<;85.2
BLUT-CHEMIE;38124;Anti-C1q;C1q-Antikörper;E/ml;<;20;<;20
BLUT-CHEMIE;227;ANTID;Tricycl.Antidepr.;µg/l;;;;
BLUT-CHEMIE;11043;ANTI-NEBENNIERE;Anti-Nebennierenrinden AK;Titer;<;01:02;<;01:02
BLUT-CHEMIE;11045;ANTI-OVARIAL;Anti-Ovarialgewebe AK;Titer;neg.;;neg.;
BLUT-CHEMIE;11418;ANTI-PANK;Anti-Pank. Inselzellen;Titer;<;01:02;<;01:02
BLUT-CHEMIE;78;Antitrypsin;a-1-Antitrypsin;g/l;0.92;2;0.92;2
BLUT-CHEMIE;11044;ANTI-21HYDROX;Anti-21-Hydroxylase;U/ml;<;1;<;1
BLUT-CHEMIE;14599;AP-DXC;ALP;U/l;53;128;42;98
BLUT-CHEMIE;188;APK;Knochen-AP;U/l;<;150;<;120
BLUT-CHEMIE;12832;AP-1J;ALP;U/l;<;462;<;462
BLUT-CHEMIE;12829;AP-1Tag;ALP;U/l;<;250;<;250
BLUT-CHEMIE;12835;AP-12J;ALP;U/l;<;300;<;300
BLUT-CHEMIE;12836;AP-17J;ALP;U/l;<;390;<;187
BLUT-CHEMIE;12833;AP-3J;ALP;U/l;<;281;<;281
BLUT-CHEMIE;12830;AP-5Tage;ALP;U/l;<;231;<;231
BLUT-CHEMIE;12834;AP-6J;ALP;U/l;<;269;<;269
BLUT-CHEMIE;12831;AP-6Mon;ALP;U/l;<;449;<;449
BLUT-CHEMIE;37764;Aripi+dehydro; Arip.+Dehydroarip;µmol/l;0.33;1.12;0.33;1.12
BLUT-CHEMIE;17945;Aripiprazol;Aripiprazol;µmol/l;0.22;0.67;0.22;0.67
BLUT-CHEMIE;38295;Aripiprazol;Aripiprazol:;;;;;
BLUT-CHEMIE;36522;Aripiprazol;Aripiprazol;µmol/l;;;;
BLUT-CHEMIE;22421;Aripiprazol;Aripiprazol;µmol/l;0.33;1.12;0.33;1.12
BLUT-CHEMIE;10779;Arsen;Arsen Serum;µmol/l;<;0.13;<;0.13
BLUT-CHEMIE;10780;ArsenEDTA;Arsen EDTA;µmol/l;0.03;0.3;0.03;0.3
BLUT-CHEMIE;29977;Asena;Asenapin;µg/l;2;5;2;5
BLUT-CHEMIE;38518;AST-AU;AST;U/l;;;;
BLUT-CHEMIE;38759;ASTAU0-14T;AST;U/l;<;75;<;75
BLUT-CHEMIE;38758;ASTAU1;AST;U/l;<;55;<;55
BLUT-CHEMIE;38760;ASTAU15-1J;AST;U/l;<;60;<;60
BLUT-CHEMIE;14539;AST-DXC;AST;U/l;<;40;<;40
BLUT-CHEMIE;14828;ATG (KRYPTOR);Anti-TG (KRYPTOR);U/ml;<;30;<;30
BLUT-CHEMIE;14827;ATPO (KRYPTOR);Anti-TPO (KRYPTOR);U/ml;<;60;<;60
BLUT-CHEMIE;210;A2MG;a-2-Macroglobulin;g/l;1.3;3;1.1;2.5
BLUT-CHEMIE;10534;BENZODIA;Benzodiazepine ql.;;;;;
BLUT-CHEMIE;30216;beta-Car;ß-Carotin;µmol/l;0.28;2.33;0.28;2.33
BLUT-CHEMIE;21807;beta-Car;ß-Carotin;µmol/l;0.76;3.34;0.76;3.34
BLUT-CHEMIE;38509;b-HCG-5;ß-hCG (hCG5);IU/l;<;5;;
BLUT-CHEMIE;30003;b-HCG-5;ß-hCG (hCG5);IU/l;<;5;;
BLUT-CHEMIE;18910;B-HYDROXY;ß-Hydroxybutyrat;µmol/l;<;300;<;300
BLUT-CHEMIE;14576;Bili-AU;Bilirubin gesamt;µmol/l;<;20;<;20
BLUT-CHEMIE;41959;Bili-AU 0-15t;Bilirubin gesamt;µmol/l;<;253;<;253
BLUT-CHEMIE;41960;Bili-AU 15t-999j;Bilirubin gesamt;µmol/l;<;20;<;20
BLUT-CHEMIE;14575;BiliDir-AU;Bilirubin direkt;µmol/l;<;5;<;5
BLUT-CHEMIE;41957;BiliDir-AU 0-15t;Bilirubin direkt;µmol/l;<;12;<;12
BLUT-CHEMIE;41958;BiliDir-AU 15t-999j;Bilirubin direkt;µmol/l;<;5;<;5
BLUT-CHEMIE;27169;Biperiden;Biperiden;nmol/l;16;321;16;321
BLUT-CHEMIE;11123;Biperiden;Biperiden;µg/l;10;100;10;100
BLUT-CHEMIE;37701;Blei;Blei;µmol/l;<;0.43;<;0.34
BLUT-CHEMIE;37702;Blei;Blei;µmol/l;<;0.17;<;0.17
BLUT-CHEMIE;10751;Blei;Blei;µmol/l;<;0.58;<;0.43
BLUT-CHEMIE;21387;Blei;Blei;µmol/l;<;0.29;<;0.29
BLUT-CHEMIE;100130;BLR;Bilirubinoide (Abrechnung);;;;;
BLUT-CHEMIE;37316;BMG;ß-2-Microglobulin;mg/l;0.9;2;0.9;2
BLUT-CHEMIE;22144;BNP;BNP ;ng/l;<;37;<;37
BLUT-CHEMIE;36881;BNP-07h;BNP ;ng/l;<;37;<;37
BLUT-CHEMIE;41961;Brivar;Brivaracetam;µg/ml;0.5;0.9;0.5;0.9
BLUT-CHEMIE;27356;Bromazepam;Bromazepam;µmol/l;0.16;0.63;0.16;0.63
BLUT-CHEMIE;35315;BSSPS -10;Bilaterales Sinus petrosus sampling;;;;;
BLUT-CHEMIE;35314;BSSPS -15;Bilaterales Sinus petrosus sampling;;;;;
BLUT-CHEMIE;18533;BTP-NASAL;ß-Trace-Protein;;;;;
BLUT-CHEMIE;18532;BTP-PKT;ß-Trace-Protein;;;;;
BLUT-CHEMIE;30303;Bupr;2OH Bupropion;µg/l;800;1200;800;1200
BLUT-CHEMIE;31217;Bupr; Bupropion;µg/l;;;;
BLUT-CHEMIE;30301;Bupr;Bupropion;µg/l;<;70;<;70
BLUT-CHEMIE;31218;Bupr; OH Bupropion;µg/l;;;;
BLUT-CHEMIE;38523;Bupro+OHBupro; Bupropion+OH-Bupr;µg/l;850;1500;850;1500
BLUT-CHEMIE;38522;Bupropion-Titel;Bupropion:;;;;;
BLUT-CHEMIE;12075;B1;Vitamin B1;µg/l;28;85;28;85
BLUT-CHEMIE;14006;B12A-DXI;Vitamin B12;ng/l;180;900;180;900
BLUT-CHEMIE;12076;B2;Vitamin B2;µg/l;137;370;137;370
BLUT-CHEMIE;145;B2T;ß-2-Traf;;;;;
BLUT-CHEMIE;14831;B3;Vitamin. B3, Nicotinamid;µg/l;8;52;8;52
BLUT-CHEMIE;12077;B6;Vitamin B6;µg/l;8.7;27.2;8.7;27.2
BLUT-CHEMIE;29954;Ca-Alb;Calcium (Albumin korr.);mmol/l;2;2.6;2;2.6
BLUT-CHEMIE;14577;Ca-AU;Calcium;mmol/l;2;2.6;2;2.6
BLUT-CHEMIE;14792;Carba;Carbamazepin;mg/l;4;10;4;10
BLUT-CHEMIE;38211;Carba-AU;Carbamazepin;mg/l;4;10;4;10
BLUT-CHEMIE;33914;Carn;Carnitin gesamt;µmol/l;25;69;25;69
BLUT-CHEMIE;29998;CATAM-PR;Catecholamine (Preis);;;;;
BLUT-CHEMIE;228;CA125-AXSYM;CA 125 (alt);kU/l;<;35;<;35
BLUT-CHEMIE;14103;CA125-DXI;CA 125;kU/l;<;35;<;35
BLUT-CHEMIE;197;CA153-AXSYM;CA 15-3 (alt);kU/l;<;27;<;27
BLUT-CHEMIE;14102;CA153-DXI;CA 15-3;kU/l;<;27;<;27
BLUT-CHEMIE;147;CA199-AXSYM;CA 19-9 (alt);kU/l;<;37;<;37
BLUT-CHEMIE;14101;CA199-DXI;CA 19-9;kU/l;<;35;<;35
BLUT-CHEMIE;186;CA50;CA 50;kU/l;<;25;<;25
BLUT-CHEMIE;151;CA72;CA 72-4;kU/l;<;6;<;6
BLUT-CHEMIE;31232;CA72-4 Cobas;CA 72-4;kU/l;<;6.9;<;6.9
BLUT-CHEMIE;17713;CA72-4 Elecsys;CA 72-4;kU/l;5.6;8.2;5.6;8.2
BLUT-CHEMIE;24453;CA72-4 Elecsys;CA 72-4;kU/l;<;6.9;<;6.9
BLUT-CHEMIE;13765;CA72-4 Versand;CA 72-4;kU/l;<;4;<;4
BLUT-CHEMIE;12254;CCL;Crea-Clearance;ml/min;70;150;70;150
BLUT-CHEMIE;13095;CCL;CCL;;100;140;75;105
BLUT-CHEMIE;21920;CC3c;Komplement C3c;g/l;0.9;1.8;0.9;1.8
BLUT-CHEMIE;42144;CC3c;Komplement C3c;g/l;0.82;1.85;0.83;1.93
BLUT-CHEMIE;42146;CC3c 1-14j;Komplement C3c;g/l;0.8;1.7;0.82;1.73
BLUT-CHEMIE;123;CC4;Komplement C4;g/l;0.1;0.34;0.1;0.34
BLUT-CHEMIE;42145;CC4;Komplement C4 ;g/l;0.15;0.53;0.15;0.57
BLUT-CHEMIE;42148;CC4 1-14j;Komplement C4;g/l;0.14;0.44;0.13;0.46
BLUT-CHEMIE;248;CC5;Komplement C5;mg/l;115;150;115;150
BLUT-CHEMIE;193;CC6;Komplement C6;mg/l;45;96;45;96
BLUT-CHEMIE;194;CC7;Komplement C7;mg/l;55;85;55;85
BLUT-CHEMIE;215;CC8;Komplement C8;mg/l;112;172;112;172
BLUT-CHEMIE;216;CC9;Komplement C9;mg/l;125;265;125;265
BLUT-CHEMIE;30019;CDT;CDT;%;<;1.6;<;1.6
BLUT-CHEMIE;46;CEA-AXSYM;CEA (alt);µg/l;<;3;<;3
BLUT-CHEMIE;14100;CEA-DXI;CEA;µg/l;<;3;<;3
BLUT-CHEMIE;37674;Certoli;Certolizumab Talspiegel;µg/ml;;;;
BLUT-CHEMIE;37675;Certoli;Certolizumab-Antikörper;UA/ml;<;5;;
BLUT-CHEMIE;31534;CGAII;Chromogranin A;µg/l;<;102;<;102
BLUT-CHEMIE;29552;ChE;ChE;U/l;5320;12920;5320;12920
BLUT-CHEMIE;29553;ChE16;ChE;U/l;5320;12920;4260;11250
BLUT-CHEMIE;29620;Chin;Chinidin;µmol/l;6.2;15.4;6.2;15.4
BLUT-CHEMIE;11056;Chloropropamid; Chlorpropamid;;;;;
BLUT-CHEMIE;15280;Chlorprothixen;Chlorprothixen;nmol/l;63;633;63;633
BLUT-CHEMIE;22423;Chlorprothixen;Chlorprothixen;nmol/l;63;951;63;951
BLUT-CHEMIE;14579;Chol-AU;Cholesterin;mmol/l;<;5;<;5
BLUT-CHEMIE;179;CHOL/HDL;Cholesterin/HDL;;<;5;<;5
BLUT-CHEMIE;12069;Chr. A;Chromogranin A;µg/l;19.4;98.1;19.4;98.1
BLUT-CHEMIE;22243;Chr. A;Chromogranin A alt;µg/l;<;85;<;85
BLUT-CHEMIE;29619;Chrom;Chrom;µg/l;<;0.4;<;0.4
BLUT-CHEMIE;38637;Chrom;Chrom;µg/l;<;0.7;<;0.7
BLUT-CHEMIE;30302;Chrom;Chrom;µg/l;<;3.7;<;3.7
BLUT-CHEMIE;29936;Chrom;Chrom;µg/l;<;0.5;<;0.5
BLUT-CHEMIE;195;CH100A;Kompl. gesamt, altern.;%;66;129;66;129
BLUT-CHEMIE;281;CH50;Kompl. gesamt, klass.;U/ml;>;36;>;36
BLUT-CHEMIE;33979;CH50 SPAplus;Kompl. gesamt, klass.;U/ml;>;41.7;>;41.7
BLUT-CHEMIE;24986;CH50-DxC;Kompl. gesamt, klass.;U/ml;>;36;>;36
BLUT-CHEMIE;32641;CH50-SPAPlus;Kompl. gesamt, klass.;U/ml;41.7;95.1;41.7;95.1
BLUT-CHEMIE;10633;CICLO;Ciclosp. mcl. (Ax);µg/l;80;160;80;160
BLUT-CHEMIE;14845;Ciclo-AU;Ciclosporin;µg/l;80;160;80;160
BLUT-CHEMIE;15544;Ciclo-Automate;Ciclosporin Automate;µg/l;80;160;80;160
BLUT-CHEMIE;14846;CicloH-AU;Ciclosporin;µg/l;80;160;80;160
BLUT-CHEMIE;124;CIH;C1-Esterase Inh. (immunol.);g/l;0.1;0.3;0.1;0.3
BLUT-CHEMIE;11515;Cita;Citalopram;nmol/l;100;500;100;500
BLUT-CHEMIE;22479;Cita; Citalopram;nmol/l;154;339;154;339
BLUT-CHEMIE;38362;Citalopram;Citalopram:;;;;;
BLUT-CHEMIE;14597;CK-AU;CK;U/l;<;170;<;145
BLUT-CHEMIE;237;CKMB%;CK-MB;% CK;<;6;<;6
BLUT-CHEMIE;14574;CKMB-Ma-DXI;CK-MB Masse;µg/l;0.6;6.3;0.6;6.3
BLUT-CHEMIE;15351;CKMB-Ma-Se-DXI;CK-MB Masse (Serum);µg/l;0.6;6.3;0.6;6.3
BLUT-CHEMIE;14578;Cl-AU;Chlorid;mmol/l;95;113;95;113
BLUT-CHEMIE;30908;Cloba;Clobazam;µmol/l;0.1;1;0.1;1
BLUT-CHEMIE;27462;Cloba;Clobazam;µmol/l;0.38;0.96;0.38;0.96
BLUT-CHEMIE;38770;Cloba-Titel;Clobazam:;;;;;
BLUT-CHEMIE;13883;Clom;Clomipramin;nmol/l;550;1430;550;1430
BLUT-CHEMIE;30311;Clom; Clomipr+Desm.-Clomipr;nmol/l;730;1430;730;1430
BLUT-CHEMIE;43066;Clomipramin;Clomipramin;nmol/l;;;;
BLUT-CHEMIE;11469;Clonazepam;Clonazepam;nmol/l;63;222;63;222
BLUT-CHEMIE;15361;CLOZAPIN;Clozapin;µmol/l;1.07;2.48;1.07;2.48
BLUT-CHEMIE;22332;CLOZAPIN;Clozapin;µmol/l;1.07;1.84;1.07;1.84
BLUT-CHEMIE;38263;Clozapin-Titel;Clozapin:;;;;;
BLUT-CHEMIE;38446;CLT;Calcitonin;ng/l;<;11.8;<;4.8
BLUT-CHEMIE;20174;CLT0;Calcitonin 0min;ng/l;<;8.4;<;5
BLUT-CHEMIE;20175;CLT2;Calcitonin 2min;ng/l;<;8.4;<;5
BLUT-CHEMIE;20176;CLT3;Calcitonin 5min;ng/l;<;8.4;<;5
BLUT-CHEMIE;33630;CoEQ10;Coenzym Q10; µg/l;600;1000;600;1000
BLUT-CHEMIE;29615;CoEQ10;Coenzym Q10;mg/l;0.4;1.2;0.4;1.2
BLUT-CHEMIE;261;Coffein;Coffein;mmol/l;;;;
BLUT-CHEMIE;12507;COMP;COMP;µg/ml;0.99;2.54;0.99;2.54
BLUT-CHEMIE;37947;Copept;Copeptin;pmol/l;1;13.8;;
BLUT-CHEMIE;40591;Copept;Copeptin;pmol/l;1.2;16.4;1.2;16.4
BLUT-CHEMIE;12283;CORT SPEICHEL;Cortisol im Speichel;nmol/l;;;;
BLUT-CHEMIE;13939;CORT-DXI;Cortisol;nmol/l;;;;
BLUT-CHEMIE;18408;CORT-NACH-DXI;Cortisol nach 60;nmol/l;;;;
BLUT-CHEMIE;37887;CORT-NACH-20;Cortisol nach 20;nmol/l;;;;
BLUT-CHEMIE;29831;CORT-NACH-30;Cortisol nach 30;nmol/l;;;;
BLUT-CHEMIE;38765;CORT-R-DXI;Cortisol rapid;nmol/l;;;;
BLUT-CHEMIE;14435;Cotinin;Cotinin+Hydrocotinin;µg/l;<;20;<;20
BLUT-CHEMIE;15067;Cotinin;Cotinin;µg/l;;;;
BLUT-CHEMIE;40514;CPEP;C-Peptid;pmol/l;;;;
BLUT-CHEMIE;18347;CPEP;C-Peptid;pmol/l;320;780;320;780
BLUT-CHEMIE;37449;CPEP;C-Peptid;pmol/l;265;1390;265;1390
BLUT-CHEMIE;11979;CPEP;C-Peptid;pmol/l;320;780;320;780
BLUT-CHEMIE;11980;CPEP/GLUC;C-Pep./Gluc.;pmol/mmol;65;125;65;125
BLUT-CHEMIE;232;CPEP/GLUC;C-Pep./Gluc.;pmol/mmol;50;100;50;100
BLUT-CHEMIE;28;CPL;Caeruloplasmin;g/l;0.2;0.6;0.2;0.6
BLUT-CHEMIE;14581;Crea-AU;Creatinin;µmol/l;<;115;<;95
BLUT-CHEMIE;14608;Crea-AU-Di;Crea (Dialysat);µmol/l;;;;
BLUT-CHEMIE;13001;CreaEnz;Creatinin enz.;µmol/l;<;105;<;80
BLUT-CHEMIE;14839;CreaEnz-H902;Creatinin enzym.;µmol/l;<;105;<;80
BLUT-CHEMIE;12248;Crea11J;Creatinin;µmol/l;34;65;34;65
BLUT-CHEMIE;12243;Crea12M;Creatinin;µmol/l;15;37;15;37
BLUT-CHEMIE;12249;Crea13J;Creatinin;µmol/l;46;70;46;70
BLUT-CHEMIE;12250;Crea15J;Creatinin;µmol/l;50;77;50;77
BLUT-CHEMIE;12242;Crea2M;Creatinin;µmol/l;;;;
BLUT-CHEMIE;12244;Crea3J;Creatinin;µmol/l;21;36;21;36
BLUT-CHEMIE;12245;Crea5J;Creatinin;µmol/l;27;42;27;42
BLUT-CHEMIE;12246;Crea7J;Creatinin;µmol/l;28;52;28;52
BLUT-CHEMIE;12247;Crea9J;Creatinin;µmol/l;35;53;35;53
BLUT-CHEMIE;12501;CROSSLAPS;Beta-Crosslaps;pg/ml;<;584;<;573
BLUT-CHEMIE;14580;CRP-AU;CRP;mg/l;<;8;<;8
BLUT-CHEMIE;38506;CTSD;Cathepsin D;µg/l;124;1009;124;1009
BLUT-CHEMIE;109;CUV;Urinvolumen;ml/24h;;;;
BLUT-CHEMIE;38246;CYFRA;CYFRA 21-1;µg/l;<;1.1;<;1.1
BLUT-CHEMIE;184;CYFRA;CYFRA 21-1;µg/l;<;3.3;<;3.3
BLUT-CHEMIE;11417;CYSTA;Cystatin C;mg/l;0.74;1.55;0.74;1.55
BLUT-CHEMIE;12074;CYSTA;Cystatin C;mg/l;0.53;0.95;0.53;0.95
BLUT-CHEMIE;192;C1F;C1-Esterase Inh. (funkt.);%;70;130;70;130
BLUT-CHEMIE;125;C1Q;C1q;g/l;0.1;0.25;0.1;0.25
BLUT-CHEMIE;21451;C1QBdg;C1q-bindende Immunkomplexe;% Bdg;<;2;<;2
BLUT-CHEMIE;24452;C1Q-Imm;C1q-Immunkomplexe;µg/ml;<;55;<;55
BLUT-CHEMIE;10744;C2;Komplement C2;mg/l;14;25;14;25
BLUT-CHEMIE;21454;C3dIgG;Immunkomplex IgG (-C3d) qn;mg/l;1;10;1;10
